B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,DOY,SCL,Sample,year
1079,799,865,625,1078,2570,2860,3076,3010,2417,1,1,89,4,F01_001,2017
1135,826,913,589,1120,3078,3398,3827,3432,3076,1,1,89,4,F01_003,2017
1155,947,940,640,1262,3679,4039,4117,4119,3203,1,1,89,4,F01_005,2017
1155,947,940,640,1262,3679,4039,4117,4119,3203,1,1,89,4,F01_007,2017
1183,802,979,738,1355,3788,4233,4034,4415,2960,1747,975,89,10,F01_009,2017
1174,805,974,782,1262,3658,4098,3863,4235,3145,1607,930,89,10,F01_011,2017
1163,830,847,586,1028,3074,3536,3414,3632,2826,1427,840,89,10,F01_013,2017
1160,789,957,709,1192,3547,3986,3775,4069,3473,1501,898,89,4,F01_015,2017
1157,961,943,658,1213,3093,3432,3485,3438,3644,1,1,89,4,F01_017,2017
1110,938,934,661,1215,3058,3360,3295,3466,2864,1,1,89,4,F01_019,2017
1115,974,913,731,1104,2667,2882,2708,3060,2728,1,1,89,4,F01_021,2017
1152,863,956,713,1177,2577,2859,2934,2916,3446,1,1,89,4,F01_023,2017
1169,836,946,745,1314,3163,3489,3422,3538,3267,1545,929,89,4,F01_025,2017
1191,831,893,647,1067,2905,3311,3196,3358,2772,1447,867,89,10,F01_027,2017
1213,724,895,667,1070,2606,2934,3054,3071,2679,1422,898,89,10,F01_029,2017
1157,794,827,645,1231,3137,3562,3054,3663,3146,1528,924,89,4,F01_031,2017
1213,845,936,798,1301,2790,3095,3105,3110,3303,1,1,89,4,F01_033,2017
1174,894,968,707,1218,2815,3099,3163,3105,2808,1,1,89,4,F01_035,2017
1211,894,979,777,1288,3205,3667,3396,3819,3034,1,1,89,4,F01_037,2017
1247,936,958,825,1246,2430,2602,2519,2691,3174,1,1,89,4,F01_039,2017
1244,773,815,585,986,2490,2805,2835,2957,2791,1283,844,89,4,F01_041,2017
1241,741,818,646,1026,2506,2807,2724,2926,2774,1302,857,89,4,F01_043,2017
1194,753,817,620,1025,2669,3039,2793,3095,3255,1,1,89,4,F01_045,2017
1143,818,820,629,1148,2638,2991,2928,3029,3107,1,1,89,4,F01_047,2017
1143,874,870,690,1222,3458,4010,3447,4179,3107,1,1,89,4,F01_049,2017
1216,844,1020,680,1383,4298,5012,5085,5123,2876,1,1,89,10,F06_009,2017
1165,941,1010,675,1378,4223,4878,5046,4923,2558,1,1,89,10,F06_011,2017
1165,908,1061,746,1344,3470,3731,4447,3694,2558,1,1,89,10,F06_013,2017
1,821,964,659,1174,2898,3213,3187,3219,1,1,1,89,4,F06_015,2017
1,922,960,656,1175,3265,3680,4011,3683,1,1,1,89,4,F06_017,2017
1,876,954,662,1164,3096,3489,4011,3652,1,1,1,89,4,F06_019,2017
1,919,1026,669,1,1,1,3865,1,1,1,1,89,6,F06_021,2017
1,992,1173,863,1,1,1,4554,1,1,1,1,89,6,F06_023,2017
1,1058,1234,885,1440,4069,4565,4681,4428,1,1,1,89,4,F06_025,2017
1,941,1117,809,1515,3835,4220,4486,4249,1,1,1,89,4,F06_027,2017
1165,900,1080,808,1490,4030,4424,4486,4406,2558,1,1,89,10,F06_029,2017
1216,932,1100,813,1422,3984,4602,4821,4766,2876,1,1,89,10,F06_031,2017
1,922,1116,809,1534,4415,4972,4959,5011,1,1,1,89,4,F06_033,2017
1,1011,1185,908,1495,4057,4685,4682,4836,1,1,1,89,4,F06_035,2017
1,998,1217,840,1550,4215,4791,4912,4916,1,1,1,89,4,F06_037,2017
1,1062,1216,882,1620,3906,4322,4871,4581,1,1,1,89,4,F06_039,2017
1,1242,1473,1241,1,1,1,4057,1,1,1,1,89,6,F06_041,2017
1,917,1086,807,1437,3949,4452,4573,4471,1,1,1,89,4,F06_New001,2017
1,980,1156,852,1403,3748,4117,4449,4145,1,1,1,89,4,F06_New002,2017
1311,837,1072,983,1392,3294,3853,3688,4176,2767,2218,1370,89,10,F08_001,2017
1322,719,922,698,1263,4089,4621,5062,4779,2731,1912,1097,89,10,F08_002,2017
1074,773,927,632,1239,4246,4978,5248,5297,2913,1827,957,89,10,F08_003,2017
1099,809,901,674,1361,3920,4652,4971,5000,2724,1822,984,89,10,F08_004,2017
1044,674,884,585,1182,4626,5280,5560,5342,3028,1797,963,89,10,F08_005,2017
1044,719,862,631,1229,4377,5179,5539,5547,3028,1817,940,89,10,F08_006,2017
1099,809,984,718,1368,3976,4671,5010,4898,2724,1819,997,89,10,F08_007,2017
1044,670,925,599,1178,4609,5241,5595,5504,3028,1809,929,89,10,F08_008,2017
1044,679,907,621,1285,4288,5239,5689,5572,3028,1833,929,89,10,F08_009,2017
993,726,1077,767,1469,3936,4727,4819,5027,2911,2240,1171,89,10,F08_010,2017
1037,764,1118,925,1587,4059,4737,4666,4958,2786,2421,1290,89,10,F08_011,2017
1082,795,975,792,1420,4086,4852,4852,4966,2715,1804,964,89,10,F08_012,2017
1,1011,1185,908,1495,4057,4685,4682,4836,1,1,1,89,4,F06_035A,2017
205,266,577,331,1072,3438,4097,4555,4196,3076,1681,898,99,4,F01_001,2017
238,164,427,206,847,3882,4645,4869,4731,4109,1381,594,99,4,F01_003,2017
218,167,437,237,862,3884,4686,4913,4798,4319,1341,558,99,4,F01_005,2017
218,167,437,237,862,3884,4686,4913,4798,4319,1341,558,99,4,F01_007,2017
263,206,489,260,964,3776,4401,4758,4612,3907,1527,730,99,4,F01_009,2017
239,221,510,246,891,3888,4682,4853,4799,4659,1412,627,99,4,F01_011,2017
243,174,458,213,871,4064,4663,4890,4969,4523,1371,590,99,4,F01_013,2017
218,179,486,225,843,3933,4712,5038,4854,4815,1314,541,99,4,F01_015,2017
228,193,465,224,881,3730,4365,4662,4625,4531,1368,603,99,4,F01_017,2017
207,243,505,425,969,3610,4348,4428,4443,3855,1695,864,99,4,F01_019,2017
